"","id","date","price","bedrooms","bathrooms","sqft_living","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","yr_renovated","zipcode","lat","long","sqft_living15","sqft_lot15"
"5641",9521100280,"20140612T000000",480000,3,2.5,1250,1103,3,0,2,3,8,1250,0,2005,0,98103,47.6619,-122.352,1250,1188
"5661",3886000010,"20140821T000000",487000,2,2.5,1470,2533,2,0,0,3,8,1470,0,2005,0,98033,47.6874,-122.165,1470,6511
"5664",1310000130,"20140924T000000",315000,4,2,2020,7767,1,0,0,3,8,2020,0,1995,0,98003,47.3391,-122.309,1940,8239
"5678",3876810170,"20150505T000000",329000,3,1,900,9600,1,0,0,4,7,900,0,1970,0,98072,47.7423,-122.173,1220,8240
"5697",7691800020,"20140709T000000",660000,4,2.5,2510,4543,2,0,0,3,8,2510,0,2002,0,98075,47.5962,-122.039,2550,4675
"5724",1788800630,"20141029T000000",96500,3,1,840,12091,1,0,0,3,6,840,0,1959,0,98023,47.3281,-122.343,840,9324
"5726",8864000250,"20140827T000000",150550,4,1,1470,6061,1.5,0,0,3,7,1470,0,1945,0,98168,47.4819,-122.289,1230,6175
"5728",4077800094,"20150202T000000",675000,4,1.75,2220,7230,1,0,1,3,8,1280,940,1950,0,98125,47.7065,-122.279,2210,7230
"5732",1954400500,"20140625T000000",583000,3,2.5,1790,8144,2,0,0,3,8,1790,0,1989,0,98074,47.6169,-122.045,1800,7503
"5733",9528102771,"20140904T000000",499000,3,2.5,1610,1728,3,0,0,3,8,1610,0,2000,0,98115,47.6776,-122.318,1540,3090
"5739",2025700080,"20140710T000000",265000,3,2.5,1530,6000,2,0,0,4,7,1530,0,1991,0,98038,47.3487,-122.036,1360,6000
"5762",6181400470,"20150127T000000",215000,4,2.5,2130,4496,2,0,0,3,7,2130,0,2004,0,98001,47.3041,-122.28,3220,5400
"5764",7215730430,"20140903T000000",705000,4,3,3150,9318,2,0,0,3,9,3150,0,2001,0,98075,47.5959,-122.018,3150,9318
"5776",263000050,"20141031T000000",730000,3,2.5,2160,8809,1,0,0,3,9,1540,620,2014,0,98103,47.6994,-122.349,930,5420
"5824",7430500415,"20140725T000000",540000,2,1,1120,7500,1,0,2,4,7,1120,0,1971,0,98008,47.619,-122.096,3040,16940
"5828",9829200250,"20150105T000000",1697000,3,2,2600,6600,2,0,4,3,10,1930,670,1970,2014,98122,47.6055,-122.285,2670,6270
"5829",3303860130,"20141203T000000",455000,4,2.5,2811,7251,2,0,0,3,9,2811,0,2009,0,98038,47.3686,-122.058,3040,7250
"5833",5702500050,"20141104T000000",280000,1,0,600,24501,1,0,0,2,3,600,0,1950,0,98045,47.5316,-121.749,990,22549
"5841",7334501440,"20141021T000000",287000,3,1.5,1150,11475,1,0,0,3,7,1150,0,1971,0,98045,47.4629,-121.744,1640,11475
"5870",5631500213,"20140515T000000",342400,3,2.25,1180,9630,2,0,0,3,7,1180,0,1986,0,98028,47.7352,-122.232,2660,5979
"5887",9808590460,"20150218T000000",1200000,4,2.25,2860,10702,2,0,0,3,10,2860,0,1982,0,98004,47.6451,-122.189,2890,10572
"5903",3303980500,"20140905T000000",1029000,4,3.25,3780,11200,2,0,0,3,11,3780,0,2002,0,98059,47.521,-122.15,3720,11813
"5913",5095400460,"20140723T000000",390000,4,2.5,1840,15496,2,0,0,3,8,1840,0,1991,0,98059,47.4683,-122.07,1840,15040
"5915",5021900779,"20150404T000000",785000,3,2,1600,9638,1,0,0,5,7,1600,0,1952,0,98040,47.5753,-122.224,1800,11400
"5944",1483300430,"20141125T000000",554000,2,1,820,3700,1,0,0,5,7,820,0,1968,0,98040,47.588,-122.251,1750,9000
"5953",3630010020,"20141229T000000",376000,3,2,1540,1827,2,0,0,3,8,1540,0,2005,0,98029,47.5479,-121.999,1560,2058
"5954",6793300010,"20141215T000000",705000,4,2.75,3000,6222,2,0,0,3,9,3000,0,2004,0,98029,47.5582,-122.025,3340,7222
"5963",4403200255,"20140722T000000",796000,4,3.5,3670,4960,2,0,0,3,9,2870,800,2005,0,98177,47.7022,-122.374,1520,6335
"5969",8651510420,"20141211T000000",490000,3,2,2070,10023,1,0,0,3,8,1220,850,1981,0,98074,47.6492,-122.062,2130,9694
"5981",3416600185,"20141106T000000",685000,3,1.75,1480,7000,1,0,2,3,8,1480,0,1963,0,98122,47.6018,-122.291,1850,4000
"5990",9275700005,"20150427T000000",1052000,3,2.25,2880,6092,2,0,4,4,8,1920,960,1983,0,98116,47.5878,-122.381,2880,5308
"5994",2105200050,"20140619T000000",519000,3,2.75,2020,10744,1,0,0,5,7,1270,750,1954,0,98166,47.4403,-122.343,2020,11069
"6025",7853301700,"20150420T000000",635000,5,2.75,3110,6621,2,0,0,3,9,3110,0,2006,0,98065,47.543,-121.888,3550,7953
"6043",3275300440,"20141120T000000",230000,2,2,1260,10200,1,0,0,3,7,1020,240,1983,0,98003,47.2593,-122.312,1560,10200
"6056",507100020,"20150309T000000",270000,3,1,1480,7374,1,0,0,3,6,760,720,1954,0,98133,47.7775,-122.336,1480,8934
"6065",7229900250,"20141202T000000",228000,3,1,1000,16376,1,0,0,3,7,1000,0,1959,0,98059,47.4825,-122.108,1420,16192
"6067",8820900670,"20140623T000000",399950,3,1.75,1560,5223,1,0,0,4,7,810,750,1940,0,98125,47.7175,-122.288,1440,8491
"6089",126049169,"20140828T000000",450000,3,1.75,1540,61419,1,0,0,3,7,1540,0,1967,0,98028,47.7663,-122.228,3790,8529
"6092",3303910010,"20150220T000000",540000,3,2.5,1950,13227,2,0,0,4,9,1950,0,1978,0,98034,47.7217,-122.256,2650,12943
"6097",4136930190,"20141028T000000",427500,4,2.5,3160,8726,2,0,0,3,9,3160,0,1999,0,98092,47.2582,-122.223,2500,8648
"6100",6204050080,"20140528T000000",555000,3,2.5,3160,4270,2,0,0,3,8,2650,510,2006,0,98011,47.7453,-122.194,2720,12523
"6102",1233100642,"20140722T000000",495000,3,1.5,2240,13288,1,0,0,3,7,2240,0,1953,0,98033,47.6762,-122.17,2150,9900
"6109",7519001990,"20141027T000000",361500,2,1,840,3860,1,0,0,4,6,840,0,1909,0,98117,47.6842,-122.365,1390,3860
"6112",1796360470,"20140617T000000",247200,3,1.75,1370,8719,1,0,0,3,7,1370,0,1982,0,98042,47.3664,-122.087,1370,7525
"6153",7878400022,"20150506T000000",390000,4,2.25,3060,7920,1,0,0,3,7,1530,1530,1965,0,98178,47.4879,-122.245,1850,7800
"6159",1223039173,"20150429T000000",450000,4,1.75,2190,11625,1,0,0,4,8,2020,170,1956,0,98146,47.4979,-122.363,1920,8855
"6164",5561200980,"20141003T000000",390000,4,2.25,2680,35218,2,0,0,3,8,2680,0,1986,0,98027,47.4613,-121.997,2980,35218
"6168",1924079091,"20150113T000000",460000,4,2,1960,190357,1,0,3,2,8,1960,0,1971,0,98027,47.5538,-121.958,2560,189100
"6170",2321300351,"20140612T000000",575000,2,1,1510,4032,1.5,0,0,3,8,1310,200,1935,0,98199,47.6371,-122.393,1700,4042
"6180",9136102057,"20140905T000000",650000,4,2.5,2160,3139,1,0,0,3,7,1080,1080,1940,0,98103,47.6662,-122.338,1650,3740
"6191",5679501310,"20141030T000000",445000,3,1.75,2110,4800,1,0,0,3,8,1210,900,1956,0,98108,47.567,-122.318,1660,4800
"6205",5127000670,"20150318T000000",314000,3,1.75,1620,9600,1,0,0,4,7,1620,0,1966,0,98059,47.4749,-122.155,1660,10200
"6209",4401200130,"20140819T000000",792000,4,2.75,3100,10245,2,0,0,3,10,3100,0,1999,0,98052,47.6858,-122.107,3140,9028
"6212",2877102846,"20140625T000000",575000,3,2.25,1700,3333,1.5,0,0,3,7,1100,600,1924,0,98117,47.6784,-122.361,1700,3750
"6215",3271300345,"20150323T000000",1028000,3,3,2800,5800,1,0,0,3,9,1580,1220,1953,2010,98199,47.6493,-122.413,2580,5800
"6220",2421059090,"20150511T000000",640000,4,2.5,4090,215186,2,0,0,4,8,3670,420,1979,0,98092,47.2964,-122.116,2430,142005
"6228",1898600050,"20140722T000000",257500,4,1.5,1360,9323,1,0,0,4,7,1360,0,1968,0,98023,47.3168,-122.401,1180,9611
"6239",40000235,"20150414T000000",380000,5,2.5,2130,8428,2,0,0,3,7,2130,0,2013,0,98168,47.4726,-122.282,1500,11810
"6242",952004725,"20141106T000000",280000,2,1,880,5750,1,0,0,3,6,880,0,1939,0,98126,47.5642,-122.379,1190,5750
"6263",6003001760,"20140924T000000",675000,3,1.5,2510,3600,2.5,0,0,4,8,2510,0,1907,0,98112,47.6195,-122.313,1740,1885
"6291",9826701665,"20140725T000000",550000,3,2.5,2340,4200,1.5,0,0,3,7,1540,800,1906,0,98122,47.6033,-122.303,1590,4200
"6293",1941400080,"20141020T000000",277000,3,2.25,1610,11920,1,0,0,4,7,1110,500,1968,0,98032,47.3683,-122.279,1690,11839
"6297",6301800020,"20140506T000000",535000,3,2.5,1850,10109,2,0,0,3,8,1850,0,1991,0,98034,47.7163,-122.229,1780,9660
"6309",4232400470,"20140527T000000",751750,2,2,1880,5400,1.5,0,0,3,8,1880,0,1902,0,98112,47.6238,-122.311,1590,5400
"6311",8114000020,"20150128T000000",310650,3,1.75,1510,12408,1,0,0,4,7,1510,0,1969,0,98059,47.5069,-122.141,1480,17800
"6319",9320600020,"20150130T000000",250000,4,2,2130,8400,1,0,0,3,7,1350,780,1962,0,98031,47.4133,-122.209,1550,8596
"6321",8067000020,"20140611T000000",295000,5,3.5,2100,5107,2,0,0,3,7,1410,690,1999,0,98178,47.5108,-122.257,1410,5650
"6325",8122100595,"20140627T000000",212700,2,1,940,5040,1,0,0,3,7,940,0,1926,0,98126,47.5375,-122.374,940,5040
"6327",808300460,"20140811T000000",415000,4,2.5,2230,5743,2,0,0,3,7,2230,0,2002,0,98019,47.7245,-121.957,2490,6300
"6330",2588800006,"20141021T000000",240000,3,1.5,1290,8366,1,0,0,3,7,1020,270,1957,0,98168,47.4853,-122.318,1770,8400
"6347",9828200460,"20150106T000000",430000,2,1,700,4800,1,0,0,3,7,700,0,1922,0,98122,47.6147,-122.3,1440,4800
"6351",9476200545,"20150127T000000",270000,3,2,1350,6696,1,0,0,5,6,680,670,1944,0,98056,47.4919,-122.187,1350,6700
"6353",9358002232,"20141019T000000",380000,3,2,1470,1656,2,0,0,3,8,1310,160,2003,0,98126,47.5653,-122.369,1470,2288
"6371",5253300387,"20150128T000000",215000,3,1,860,6635,1,0,0,3,6,860,0,1952,0,98133,47.7508,-122.339,1170,8000
"6376",1770000130,"20141126T000000",435000,3,1.75,1750,16748,1,0,0,3,7,1330,420,1978,0,98072,47.7421,-122.089,1750,16050
"6392",9834201470,"20141218T000000",303000,2,1.5,1000,1075,2,0,0,3,7,840,160,2007,0,98144,47.5708,-122.288,1000,1083
"6395",8700500020,"20141126T000000",324950,3,2.5,1560,9600,1,0,0,3,7,1210,350,1964,0,98188,47.457,-122.27,2070,9600
"6402",3459000050,"20140610T000000",470000,3,1.75,2290,14800,1,0,0,3,8,1620,670,1965,0,98155,47.7735,-122.273,2320,12474
"6403",2624049091,"20150313T000000",2903000,5,2.5,3750,91681,2,1,4,3,10,3750,0,1925,0,98118,47.5379,-122.264,3540,24293
"6411",561500290,"20140711T000000",315000,3,1.75,1660,37642,1,0,0,4,7,1660,0,1991,0,98022,47.2559,-122.007,2070,54450
"6413",925069071,"20150126T000000",750000,5,3.75,3500,101494,1.5,0,0,3,8,3500,0,1967,1990,98053,47.6745,-122.054,3250,38636
"6418",464001025,"20140918T000000",722500,4,3.5,2600,5100,2,0,0,3,8,1820,780,2003,0,98117,47.6948,-122.395,2000,6720
"6419",5569700020,"20140730T000000",795000,4,2.5,3230,19193,1,0,3,4,8,2000,1230,1973,0,98075,47.5755,-122.07,3230,13420
"6426",9368700006,"20150324T000000",375000,5,1.75,2230,7560,1,0,0,3,7,1230,1000,1959,0,98178,47.5055,-122.26,1380,6570
"6427",8016250080,"20140709T000000",245000,3,2.5,1610,7223,2,0,0,3,7,1610,0,1994,0,98030,47.3661,-122.173,1610,7162
"6435",8832900780,"20141013T000000",480000,5,2,1760,21562,1,0,1,3,8,1560,200,1959,0,98028,47.7597,-122.263,2150,12676
"6443",104560010,"20140610T000000",278500,4,2.5,1940,6206,2,0,0,3,7,1940,0,1990,0,98023,47.3063,-122.359,2060,7092
"6449",3356404198,"20150129T000000",286000,4,2.5,2060,16000,2,0,0,3,6,2060,0,1993,0,98001,47.2849,-122.251,1530,8000
"6453",2473390440,"20141202T000000",340000,3,2.25,1900,8125,1,0,0,3,7,1540,360,1969,0,98058,47.4564,-122.162,1480,8284
"6480",9512500460,"20140711T000000",525000,3,1.5,1560,9350,1,0,0,4,7,1220,340,1969,0,98052,47.6729,-122.148,1870,8671
"6481",7203601405,"20150414T000000",217000,2,1,730,2400,1,0,1,3,4,730,0,1934,0,98198,47.35,-122.322,1220,4382
"6508",9550204590,"20140624T000000",941000,4,1.75,2320,3825,1.5,0,0,5,8,1820,500,1926,0,98105,47.6659,-122.327,1940,3825
"6509",4217402115,"20150421T000000",3650000,6,4.75,5480,19401,1.5,1,4,5,11,3910,1570,1936,0,98105,47.6515,-122.277,3510,15810
"6514",6388920460,"20141226T000000",535000,3,2.5,2110,8164,2,0,0,3,9,2110,0,1990,0,98056,47.5269,-122.171,2390,7499
"6534",8645530010,"20140515T000000",225000,3,2,1400,7384,1,0,0,3,7,1150,250,1979,0,98058,47.4655,-122.174,1820,7992
"6540",9421500010,"20150205T000000",442500,4,2.25,1970,7902,1,0,0,3,8,1310,660,1960,0,98125,47.7249,-122.298,1860,8021
"6559",56000095,"20140626T000000",805000,3,2.75,2600,5875,1.5,0,2,5,8,1600,1000,1929,0,98116,47.5773,-122.406,2260,5492
"6560",3432500980,"20140708T000000",410000,4,2.25,2060,7283,1,0,0,3,8,1220,840,1963,2013,98155,47.7435,-122.317,1500,8134
"6571",8899000190,"20141212T000000",301000,3,1.75,1840,7200,1,0,0,4,7,1220,620,1968,0,98055,47.456,-122.209,1770,8075
"6573",3438500924,"20140811T000000",538900,5,3,3040,6604,2,0,0,3,9,3040,0,2005,0,98106,47.548,-122.356,1650,6825
"6583",2273600460,"20150130T000000",536000,3,1.75,1530,8503,1,0,0,4,7,1150,380,1983,0,98033,47.6872,-122.185,1610,8549
"6588",1929300052,"20141029T000000",740000,3,2.5,2200,3000,2,0,0,3,9,1530,670,2002,0,98109,47.6451,-122.35,2200,3300
"6601",4036800170,"20140623T000000",453000,4,1.75,2120,7420,1,0,0,4,7,1060,1060,1956,0,98008,47.6019,-122.13,1540,7420
"6611",1542800010,"20140909T000000",472500,3,2.5,1650,3711,2,0,0,3,8,1650,0,1996,0,98052,47.6863,-122.093,1760,3762
"6617",2787460430,"20141028T000000",299950,2,1.75,1460,10506,1,0,0,3,7,1460,0,1983,0,98031,47.4048,-122.178,1460,8153
"6630",7338000950,"20141021T000000",187000,3,1.5,1280,4452,2,0,0,3,6,1280,0,1985,0,98002,47.3344,-122.216,1070,4366
"6632",3323059027,"20150225T000000",340000,3,2.75,1720,28000,1,0,0,4,7,1720,0,1958,0,98058,47.4375,-122.176,2000,41817
"6641",6139100086,"20150224T000000",350000,3,1,1540,9800,1,0,0,4,7,1540,0,1950,0,98155,47.7604,-122.329,1560,9450
"6658",2436700655,"20150317T000000",515000,2,2.5,1330,1249,3,0,0,3,8,1330,0,2004,0,98105,47.6668,-122.285,1430,1328
"6681",4046400010,"20150309T000000",535900,3,2.25,1880,10880,1,0,0,3,8,1480,400,1975,0,98008,47.5937,-122.116,2120,10240
"6697",2011400779,"20141202T000000",385000,4,2.75,2960,10454,1,0,1,3,8,2360,600,1979,0,98198,47.4006,-122.322,1870,10500
"6706",4038700380,"20140826T000000",657000,5,2.5,2530,10190,1,0,0,4,7,1290,1240,1960,0,98008,47.616,-122.115,2040,8560
"6709",1137400460,"20140624T000000",455000,4,2.5,2950,4502,2,0,0,3,7,2950,0,2005,0,98059,47.5002,-122.151,2360,4502
"6710",2545700020,"20141016T000000",458500,2,1.75,1160,6828,1,0,0,3,7,860,300,1941,0,98115,47.6937,-122.298,1250,6828
"6712",5652600185,"20140502T000000",750000,3,1.75,2240,10578,2,0,0,5,8,1550,690,1923,0,98115,47.6954,-122.292,1570,10578
"6730",9429000170,"20150326T000000",617950,4,2.5,2410,7950,2,0,0,3,8,2410,0,1997,0,98034,47.7185,-122.226,1920,7713
"6732",323049148,"20141219T000000",319000,3,2,1640,9234,1,0,0,5,7,1060,580,1967,0,98118,47.5162,-122.274,2230,10354
"6738",2310000380,"20141219T000000",269950,3,1.75,1400,7735,1,0,0,4,7,1400,0,1989,0,98038,47.357,-122.04,1530,7754
"6742",8132700190,"20140602T000000",430000,2,1,990,4802,1,0,0,3,7,990,0,1947,0,98117,47.6876,-122.395,1180,5000
"6777",4302700425,"20150213T000000",425000,5,2.75,2110,5120,2,0,0,3,7,1870,240,1947,1983,98106,47.5294,-122.357,1580,5120
"6793",2790400380,"20141201T000000",560000,3,2.5,2020,11935,1,0,0,4,9,2020,0,1976,0,98052,47.632,-122.092,2410,12350
"6814",806000020,"20150310T000000",203000,3,1.5,1200,9120,1,0,0,3,7,1000,200,1963,0,98055,47.4545,-122.187,1640,9200
"6830",538000250,"20150112T000000",332500,4,2.5,2220,4720,2,0,0,3,7,2220,0,1998,0,98038,47.3541,-122.024,2090,4717
"6833",3333002302,"20150213T000000",428000,4,2.5,1950,5602,1,0,0,5,7,1120,830,1966,0,98118,47.5437,-122.291,2000,6050
"6874",7852190050,"20140626T000000",620000,6,3.5,3600,6875,2,0,0,3,8,2740,860,2004,0,98065,47.5401,-121.879,3150,6663
"6878",9406520290,"20141229T000000",305000,3,2.25,1646,12414,2,0,0,3,7,1646,0,1996,0,98038,47.363,-122.035,1654,8734
"6879",2112700895,"20150326T000000",276000,2,1,720,4000,1,0,0,3,6,720,0,1918,0,98106,47.5346,-122.353,1630,4000
"6883",5672000020,"20140805T000000",272000,3,1.5,1380,11760,1,0,0,4,7,1380,0,1963,0,98055,47.4243,-122.202,1650,9855
"6887",4040600190,"20140806T000000",509500,5,2.25,2060,9000,1,0,0,4,7,1320,740,1961,0,98007,47.6122,-122.137,2050,8800
"6890",7788400170,"20140926T000000",230000,3,1,940,10875,1,0,0,3,7,940,0,1957,0,98056,47.5121,-122.168,1250,11200
"6892",3885803895,"20150309T000000",763000,3,2,1360,8752,1,0,2,4,6,1360,0,1942,0,98033,47.6879,-122.208,2530,7680
"6895",6882520050,"20141007T000000",250000,3,1,930,6060,1,0,0,4,6,930,0,1973,0,98118,47.5289,-122.28,1640,6364
"6906",1137800460,"20141209T000000",465000,3,2.5,2870,25663,2,0,0,3,10,2870,0,1988,0,98003,47.2769,-122.333,2950,24347
"6915",6821600005,"20150403T000000",710000,4,1.75,2120,5400,1,0,0,4,8,1060,1060,1941,0,98199,47.6501,-122.395,2052,6000
"6923",7227502155,"20140714T000000",208000,2,1,820,5700,1,0,0,5,5,820,0,1942,0,98056,47.4915,-122.184,1000,5700
"6927",6021503656,"20140902T000000",375000,3,2.5,1330,1064,3,0,0,3,8,1330,0,2004,0,98117,47.6835,-122.387,1330,1113
"6944",1377300020,"20150219T000000",650000,3,1.5,2120,8448,1,0,0,3,7,1060,1060,1940,0,98199,47.6438,-122.403,1620,7920
"6964",5702380780,"20150422T000000",240000,3,1.75,1540,6687,1,0,0,3,7,1200,340,1991,0,98022,47.1938,-121.981,1540,7242
"6979",2473420170,"20140924T000000",320000,4,2.75,2110,13260,1,0,0,4,7,1290,820,1979,0,98058,47.4513,-122.16,1980,11016
"6981",263000359,"20140630T000000",355000,3,2.25,1370,1524,3,0,0,3,8,1370,0,2005,0,98103,47.6982,-122.347,1370,1418
"6995",2954400190,"20140624T000000",1295650,0,0,4810,28008,2,0,0,3,12,4810,0,1990,0,98053,47.6642,-122.069,4740,35061
"7012",1121000414,"20140927T000000",750000,4,2.75,3150,6343,1,0,3,3,8,1810,1340,1976,0,98126,47.5424,-122.381,2250,6343
"7016",6669080010,"20140922T000000",413900,4,2.25,1770,5236,2,0,0,3,7,1770,0,2007,0,98056,47.5137,-122.189,2470,5064
"7021",1423800080,"20140512T000000",225000,3,1,990,8012,1,0,0,4,7,990,0,1966,0,98058,47.4557,-122.181,1260,9060
"7028",3426049132,"20150422T000000",460000,3,2,1200,7320,1,0,0,3,7,1200,0,1955,0,98115,47.6986,-122.286,1750,8220
"7029",3904901190,"20141219T000000",567000,3,2.5,2070,10908,2,0,0,3,8,2070,0,1986,0,98029,47.5665,-122.023,2220,10975
"7046",8965400010,"20140606T000000",715000,3,2.5,2550,13458,2,0,0,3,9,2550,0,1990,0,98006,47.5586,-122.121,3180,13458
"7062",2546500020,"20140618T000000",295000,3,2,1380,8682,1,0,0,4,7,1380,0,1966,0,98148,47.4238,-122.322,1410,10594
"7065",327000050,"20141212T000000",1500000,4,3.25,3860,7199,2,0,1,3,9,2870,990,2005,0,98115,47.6855,-122.269,2940,9600
"7085",3582750170,"20150429T000000",410000,2,2.25,1660,2128,2,0,0,4,8,1660,0,1974,0,98028,47.7528,-122.252,1640,2128
"7113",2489200250,"20150430T000000",528000,3,2,1560,6300,1,0,0,3,7,1560,0,1924,0,98126,47.5407,-122.379,1620,6300
"7115",6150700169,"20140609T000000",304700,2,1,740,5995,1,0,0,4,7,740,0,1949,0,98133,47.7291,-122.337,1140,5995
"7126",5151600285,"20140507T000000",314500,3,1.75,1870,12381,1,0,0,4,8,1870,0,1957,0,98003,47.3358,-122.32,1950,12667
"7127",2155000480,"20150429T000000",499950,3,1.5,1350,9315,1,0,0,3,7,1350,0,1968,0,98052,47.6587,-122.124,1840,9920
"7131",4047200380,"20140526T000000",460000,2,1.5,2730,19877,1,0,0,4,8,1570,1160,1976,0,98019,47.7698,-121.898,1450,19509
"7153",4037200585,"20140723T000000",394950,3,2.5,1090,7700,1,0,0,4,7,1090,0,1957,0,98008,47.607,-122.12,1740,7700
"7172",2591850080,"20140630T000000",436500,4,2.5,2290,11173,2,0,0,4,8,2290,0,1988,0,98058,47.4314,-122.164,2290,10404
"7174",5628400080,"20141218T000000",420000,3,2.25,1800,9800,1,0,0,4,7,1300,500,1959,0,98028,47.7393,-122.244,1680,9545
"7198",717000225,"20141028T000000",235000,2,2,870,6450,1,0,0,4,6,740,130,1954,0,98118,47.5354,-122.278,1640,5775
"7203",8901000143,"20141125T000000",5e+05,4,4.5,2690,7350,1.5,0,0,5,7,2690,0,1949,0,98125,47.7062,-122.311,1660,9000
"7224",1525079069,"20140708T000000",650000,4,3,3720,57499,1,0,0,3,9,1880,1840,2003,0,98014,47.6469,-121.897,2560,26372
"7225",1786200010,"20150514T000000",456500,4,2.5,2580,11780,2,0,0,3,9,2580,0,2003,0,98038,47.3658,-122.04,2410,8403
"7232",6448000020,"20150129T000000",1490000,4,2.5,2420,18480,1,0,0,4,9,2420,0,1967,0,98004,47.6214,-122.227,3330,19910
"7246",1446403850,"20140916T000000",118125,2,1,790,7153,1,0,0,4,6,790,0,1944,0,98168,47.4869,-122.324,810,7128
"7271",629800380,"20141013T000000",1450000,4,3.5,4360,24603,2,0,0,3,12,4360,0,1998,0,98074,47.6035,-122.005,4770,27521
"7272",8965520190,"20141030T000000",1200000,3,2.5,3420,16622,1,0,4,3,10,2410,1010,1991,0,98006,47.5638,-122.105,3460,14566
"7273",925059193,"20140709T000000",1065000,4,3.75,4260,9800,2,0,0,3,10,4260,0,2008,0,98033,47.6739,-122.172,1950,8970
"7284",5605000430,"20140917T000000",1160000,4,2.5,2790,5450,2,0,0,3,10,1930,860,1925,2000,98112,47.6453,-122.303,2320,5450
"7286",4477000290,"20150311T000000",474950,4,1.75,2030,15400,1,0,1,3,9,1130,900,1975,0,98166,47.4603,-122.365,2040,12425
"7289",9195700380,"20140811T000000",620000,4,2.25,1530,7845,1,0,0,4,7,1030,500,1981,0,98027,47.5589,-122.082,1710,7627
"7303",9415950020,"20140608T000000",260000,4,2.5,1811,4381,2,0,0,3,8,1811,0,2007,0,98055,47.454,-122.19,1811,4150
"7310",1829700050,"20140724T000000",335000,2,1,1440,8842,1,0,0,3,7,840,600,1950,0,98155,47.7443,-122.325,1650,8461
"7334",7967600285,"20141211T000000",449888,3,2.25,2520,78408,2,0,0,3,9,2520,0,1988,0,98001,47.3514,-122.279,1490,29972
"7345",2818100255,"20141029T000000",922000,4,2.5,2620,14126,1,0,4,4,8,1620,1000,1941,0,98117,47.6983,-122.397,2620,8905
"7385",1148000190,"20140522T000000",249950,2,1,940,8532,1,0,0,4,7,940,0,1959,0,98166,47.4814,-122.343,1050,8100
"7387",3981200250,"20140926T000000",450000,3,2.5,2620,14096,2,0,0,4,9,2620,0,1989,0,98042,47.3513,-122.1,3010,14096
"7391",2481630290,"20140626T000000",879000,4,2.75,4230,31747,2,0,0,4,10,4230,0,1985,0,98072,47.731,-122.132,4080,35576
"7428",2223069120,"20140820T000000",440000,4,1.75,2800,49149,1,0,0,4,7,1400,1400,1978,0,98027,47.4649,-122.034,2560,61419
"7437",3459600440,"20141125T000000",1310000,5,3,3650,16600,1,0,3,4,9,1860,1790,1978,0,98006,47.56,-122.144,3150,10400
"7445",7503000050,"20140807T000000",390000,3,2.5,1690,10113,1,0,0,3,7,1310,380,1991,0,98028,47.7381,-122.223,1690,10113
"7480",5634500415,"20140715T000000",431000,3,2.5,1710,12677,2,0,0,3,8,1710,0,1996,0,98028,47.75,-122.234,1610,12160
"7499",13002495,"20140707T000000",295000,3,1.5,1640,7222,2,0,0,4,7,1640,0,1908,0,98108,47.5215,-122.33,1240,5100
"7539",3298700820,"20141024T000000",160000,3,1.75,1010,5355,1,0,0,3,6,1010,0,1950,0,98106,47.5202,-122.351,750,4515
"7553",322069020,"20140619T000000",520000,3,1.75,1940,219527,1,0,0,3,7,1940,0,1991,0,98038,47.4214,-122.02,2060,108900
"7556",7205000180,"20150417T000000",320000,4,2.25,2000,10374,2,0,1,4,7,2000,0,1967,0,98023,47.3342,-122.34,2170,10374
"7564",2787250090,"20140618T000000",562000,5,3,2795,15101,2,0,0,3,8,2795,0,1996,0,98019,47.7301,-121.972,2750,14567
"7567",3886902950,"20140911T000000",860000,4,3.5,3380,8098,1,0,1,5,9,1690,1690,1952,0,98033,47.6839,-122.19,1890,8400
"7583",3883100220,"20150120T000000",299000,3,1.75,2010,8065,1,0,0,4,7,1090,920,1984,0,98031,47.4171,-122.202,1560,8065
"7585",1099600090,"20140613T000000",205000,3,1,1290,6566,1,0,0,5,7,1290,0,1976,0,98023,47.3004,-122.377,1690,6860
"7588",4104910040,"20140701T000000",548000,4,2.5,2440,11005,2,0,0,3,9,2440,0,1994,0,98056,47.5318,-122.176,2590,14754
"7595",203900690,"20141223T000000",395000,4,2,1980,15354,1,0,0,3,7,1980,0,1977,0,98053,47.638,-121.968,1420,12300
"7621",2769601250,"20150512T000000",550000,2,1,1420,3100,1,0,0,3,7,820,600,1924,0,98107,47.6737,-122.365,1420,3915
"7651",626049058,"20150504T000000",275000,5,2.5,2570,17234,1,0,0,3,7,1300,1270,1959,0,98133,47.7753,-122.355,1760,7969
"7655",3825310540,"20141121T000000",640000,4,2.5,2260,5172,2,0,0,3,9,2260,0,2004,0,98052,47.7047,-122.128,2680,5172
"7656",7202340590,"20141014T000000",702000,4,2.75,3880,15025,2,0,0,3,7,3880,0,2004,0,98053,47.6777,-122.035,2620,5300
"7664",8085400355,"20141204T000000",1270000,5,3,3950,9520,1,0,0,3,9,2250,1700,1953,2002,98004,47.6363,-122.207,1890,9520
"7670",4232401265,"20141020T000000",1112750,5,3.5,3090,3600,2,0,0,3,9,2060,1030,2000,0,98112,47.6217,-122.309,2240,3904
